Date,Close,High,Low,Open,Volume,Day,Ticker
2015-08-17,210.59,210.58,208.16,208.73,205501,157.0,SPY
2015-08-18,209.98,210.68,209.7,210.29,138063,158.0,SPY
2015-08-19,208.32,210.01,207.36,209.1,358457,159.0,SPY
2015-08-20,203.97,207.17,203.91,206.54,356132,160.0,SPY
2015-08-21,197.83,202.92,197.53,201.81,668084,161.0,SPY
2015-08-24,189.55,195.84,182.95,187.49,1211892,162.0,SPY
2015-08-25,187.27,195.45,187.06,195.45,755578,163.0,SPY
2015-08-26,194.46,194.79,188.37,192.21,668527,164.0,SPY
2015-08-27,199.27,199.41,195.21,197.05,616592,165.0,SPY
2015-08-28,199.28,199.83,197.93,198.5,300116,166.0,SPY
2015-08-31,197.67,199.12,197.02,198.14,288853,167.0,SPY
2015-09-01,191.77,194.77,190.73,193.07,455549,168.0,SPY
2015-09-02,195.41,195.45,192.43,194.69,367329,169.0,SPY
2015-09-03,195.55,198.05,194.96,196.25,306193,170.0,SPY
2015-09-04,192.59,193.86,191.61,192.88,293398,171.0,SPY
2015-09-08,197.43,197.61,195.18,195.97,262223,172.0,SPY
2015-09-09,194.79,199.46,194.35,199.33,272270,173.0,SPY
2015-09-10,195.85,197.22,194.26,194.5,328023,174.0,SPY
2015-09-11,196.74,196.76,194.53,195.32,228272,175.0,SPY
2015-09-14,196.01,197.0,195.44,196.95,135077,176.0,SPY
2015-09-15,198.46,198.99,196.09,196.59,199404,177.0,SPY
2015-09-16,200.18,200.4,198.42,198.82,194056,178.0,SPY
2015-09-17,199.73,202.89,199.28,199.96,539194,179.0,SPY
2015-09-18,195.45,197.56,194.96,195.74,333308,180.0,SPY
2015-09-21,196.46,197.68,195.21,196.45,200322,181.0,SPY
2015-09-22,193.91,194.46,192.56,193.9,255661,182.0,SPY
2015-09-23,193.6,194.67,192.91,194.13,180164,183.0,SPY
2015-09-24,192.9,193.44,190.56,192.13,346239,184.0,SPY
2015-09-25,192.85,195.0,191.81,194.61,308835,185.0,SPY
2015-09-28,188.01,191.91,187.65,191.75,358095,186.0,SPY
2015-09-29,188.12,189.74,186.94,188.24,351737,187.0,SPY
2015-09-30,191.63,191.82,189.44,190.4,316432,188.0,SPY
2015-10-01,192.13,192.48,189.82,192.03,251956,189.0,SPY
2015-10-02,195.0,194.98,189.12,189.75,420920,190.0,SPY
2015-10-05,198.47,198.74,196.33,196.47,296570,191.0,SPY
2015-10-06,197.79,198.98,197.0,198.27,231255,192.0,SPY
2015-10-07,199.41,199.83,197.49,198.85,287561,193.0,SPY
2015-10-08,201.21,201.55,198.59,198.96,342248,194.0,SPY
2015-10-09,201.33,201.9,200.58,201.4,194354,195.0,SPY
2015-10-12,201.52,201.76,200.91,201.43,119881,196.0,SPY
2015-10-13,200.25,202.15,200.06,200.63,191170,197.0,SPY
2015-10-14,199.29,200.87,198.94,200.16,212350,198.0,SPY
2015-10-15,202.35,202.33,199.64,200.05,300476,199.0,SPY
2015-10-16,203.27,203.28,201.92,202.82,236240,200.0,SPY
2015-10-19,203.37,203.37,202.13,202.53,179038,201.0,SPY
2015-10-20,203.09,203.83,202.55,202.86,167678,202.0,SPY
2015-10-21,201.85,203.78,201.65,203.64,219572,203.0,SPY
2015-10-22,205.26,205.5,202.82,203.0,382886,204.0,SPY
2015-10-23,207.51,207.95,206.3,207.24,306529,205.0,SPY
2015-10-26,207.0,207.37,206.56,207.27,149176,206.0,SPY
2015-10-27,206.6,206.99,205.8,206.2,162004,207.0,SPY
2015-10-28,208.95,208.97,206.21,207.0,375916,208.0,SPY
2015-10-29,208.83,209.26,208.22,208.36,196612,209.0,SPY
2015-10-30,207.93,209.43,207.83,209.07,270911,210.0,SPY
2015-11-02,210.39,210.62,208.18,208.36,230685,211.0,SPY
2015-11-03,211.0,211.66,209.7,209.98,190315,212.0,SPY
2015-11-04,210.36,211.49,209.73,211.37,202987,213.0,SPY
2015-11-05,210.15,210.98,209.09,210.44,164011,214.0,SPY
2015-11-06,210.04,210.32,208.46,209.74,250242,215.0,SPY
2015-11-09,208.08,209.49,206.96,209.33,236151,216.0,SPY
2015-11-10,208.56,208.6,207.19,207.54,149212,217.0,SPY
2015-11-11,207.74,208.93,207.67,208.88,154044,218.0,SPY
2015-11-12,204.84,207.06,204.82,206.51,231310,219.0,SPY
2015-11-13,202.54,204.67,202.44,204.36,292966,220.0,SPY
2015-11-16,205.62,205.64,202.19,202.3,243551,221.0,SPY
2015-11-17,205.47,207.03,204.88,205.97,286015,222.0,SPY
2015-11-18,208.73,208.9,206.0,206.03,306480,223.0,SPY
2015-11-19,208.55,209.05,208.2,208.55,172581,224.0,SPY
2015-11-20,209.31,210.12,208.86,209.47,179736,225.0,SPY
2015-11-23,209.07,209.98,208.53,209.4,155703,226.0,SPY
2015-11-24,209.35,209.83,207.41,207.87,245805,227.0,SPY
2015-11-25,209.32,209.74,209.01,209.48,125143,228.0,SPY
2015-11-27,209.56,209.8,208.87,209.4,75701,229.0,SPY
2015-11-30,208.69,209.88,208.56,209.79,213765,230.0,SPY
2015-12-01,210.68,210.82,209.12,209.42,230793,231.0,SPY
2015-12-02,208.53,210.99,208.23,210.6,235065,232.0,SPY
2015-12-03,205.61,209.14,204.76,208.9,326649,233.0,SPY
2015-12-04,209.62,209.97,205.94,206.1,467930,234.0,SPY
2015-12-07,208.35,209.24,207.2,209.2,236796,235.0,SPY
2015-12-08,206.95,208.04,205.78,206.48,241695,236.0,SPY
2015-12-09,205.34,208.68,204.19,206.2,361525,237.0,SPY
2015-12-10,205.87,207.43,205.15,205.44,233256,238.0,SPY
2015-12-11,201.88,204.14,201.51,203.38,376819,239.0,SPY
2015-12-14,202.9,203.0,199.97,202.1,334522,240.0,SPY
2015-12-15,205.03,206.11,204.54,204.69,268742,241.0,SPY
2015-12-16,208.03,208.39,204.81,206.37,385016,242.0,SPY
2015-12-17,204.86,208.48,204.84,208.37,309235,243.0,SPY
2015-12-18,200.02,202.93,199.97,202.77,435936,244.0,SPY
2015-12-21,201.67,201.88,200.09,201.43,206395,245.0,SPY
2015-12-22,203.5,203.85,201.55,202.7,263031,246.0,SPY
2015-12-23,206.02,206.07,204.58,204.7,252069,247.0,SPY
2015-12-24,205.68,206.33,205.43,205.72,105959,248.0,SPY
